PM10,NO,NO2,O3,PM25
15.846,0.48237,11.66191,28.6383,14.0
16.812,0.86827,12.72375,27.88991,14.0
13.913,0.73964,12.43465,35.02454,10.0
11.981,1.41496,16.89475,28.98754,8.0
11.015,2.47618,20.95768,25.59485,7.0
9.082,4.59863,20.32953,21.70324,6.0
5.217,4.6951,15.36688,23.69894,6.0
11.981,5.78848,16.41387,23.9484,13.0
4.251,6.49596,18.92796,30.08518,11.0
7.15,4.24489,16.98124,38.51701,8.0
3.285,3.40877,16.70699,45.55185,4.0
3.285,3.28014,16.12609,46.5497,2.0
12.947,5.37042,32.7635,29.53636,5.0
13.913,12.86329,47.82848,15.41678,10.0
21.643,5.82064,36.59609,22.80087,13.0
20.677,4.63079,29.47195,26.34324,14.0
26.474,3.9233,35.85779,19.65765,19.0
30.339,7.84661,45.64802,9.72904,22.0
23.575,11.38401,48.34587,7.68345,15.0
19.71,5.62769,40.15039,11.12603,11.0
20.677,2.40047,28.74942,19.49134,14.0
14.879,1.20024,16.83939,29.46984,9.0
18.744,0.90018,15.25638,28.23916,7.0
17.778,0.83588,13.16594,28.08948,10.0
24.541,0.64298,11.51591,25.04604,13.0
22.609,0.67513,13.41241,21.80302,20.0
35.17,1.18952,15.93157,20.6056,33.0
33.237,1.67176,17.23524,20.05679,30.0
20.677,2.82913,17.50373,20.95485,24.0
27.44,3.15062,15.74601,22.90066,24.0
19.71,4.01865,16.55544,24.49722,18.0
14.879,3.21492,14.23671,28.33894,13.0
13.913,4.14724,16.01774,26.29335,14.0
20.677,4.08295,20.00794,19.05894,19.0
18.744,5.01527,21.01065,17.01334,16.0
17.778,4.01865,21.61453,18.95915,17.0
12.947,3.9865,23.12318,19.40818,9.0
12.947,2.53979,22.22815,19.40818,10.0
14.879,3.18277,24.45284,15.91571,11.0
16.812,2.70053,22.12761,17.9613,15.0
16.812,1.8968,18.88463,21.50367,11.0
18.744,1.73606,16.69885,24.09808,13.0
10.048,1.47886,16.41217,26.49292,11.0
11.015,0.80373,11.60995,32.77937,7.0
22.609,0.38568,9.72387,36.65436,4.0
7.15,0.59995,7.25443,38.91615,7.0
4.251,0.1607,5.78704,40.5626,8.0
4.251,0.41782,4.95488,41.01164,4.0
5.217,0.3214,8.36272,36.6211,5.0
6.184,0.8035,12.73247,32.67959,5.0
5.217,1.89627,17.52828,28.98754,5.0
7.15,6.20305,28.63571,19.957,5.0
9.082,6.29947,28.04995,22.55141,5.0
13.913,8.90282,28.97254,25.04604,9.0
10.048,5.59238,19.84069,40.31314,8.0
11.015,4.82102,17.13089,47.29809,7.0
11.015,4.33892,17.43219,49.54325,5.0
6.184,3.18187,20.86063,45.75142,11.0
6.184,3.66398,26.93337,38.86626,7.0
14.879,3.79254,33.9861,31.98109,4.0
13.913,9.22422,44.34184,19.957,4.0
11.015,10.99192,50.43827,12.6228,6.0
13.913,9.48134,50.75954,7.9828,11.0
14.879,8.90282,46.87823,8.83097,10.0
5.217,3.63184,28.92892,32.52991,7.0
9.082,3.53541,31.99617,30.5841,4.0
3.285,3.59969,28.88088,32.33034,7.0
5.217,3.21401,32.19703,29.13722,5.0
5.217,0.94251,17.3084,40.64576,7.0
7.15,0.64262,25.16582,28.20589,8.0
11.981,1.06033,28.30526,23.69894,4.0
2.319,0.5141,15.32097,35.22411,6.0
2.319,0.54623,15.51505,32.08088,8.0
3.285,1.60655,24.8883,24.84647,6.0
12.947,3.05245,24.13134,25.2955,8.0
4.251,4.53048,25.56386,23.99829,4.0
6.184,5.30163,27.00954,24.34754,0.0
9.082,5.78359,25.68652,30.43443,3.0
8.116,4.91606,23.07459,36.77077,3.0
8.116,4.14491,20.65553,32.5798,4.0
12.947,5.65507,22.76881,31.13292,6.0
11.015,3.91999,22.8498,32.43013,8.0
13.913,3.72721,25.96817,29.33679,10.0
14.879,3.37376,27.72682,30.5841,8.0
13.913,3.47016,30.10977,32.38023,8.0
15.846,3.79147,24.45825,39.2654,9.0
11.015,1.70295,17.63491,46.20046,10.0
8.116,1.60655,15.30062,47.74712,7.0
6.184,0.96393,16.04262,54.98154,5.0
3.285,1.02819,20.03223,54.33293,4.0
2.319,4.01639,25.86544,54.78197,2.0
12.947,0.55678,10.82949,63.46326,11.0
7.15,0.42829,5.50943,71.77868,7.0
6.184,0.51395,6.22188,68.90154,4.0
13.913,0.41759,6.7104,66.85595,7.0
10.048,0.44971,4.61658,69.89939,10.0
11.015,0.64244,12.10987,61.01853,6.0
10.048,1.317,30.30418,41.66024,8.0
13.913,2.02369,25.95905,49.84261,7.0
9.082,3.75828,29.38439,46.74927,8.0
11.015,4.59345,31.41405,45.40218,11.0
11.015,4.6577,29.27098,46.44992,7.0
11.981,7.42019,25.0839,55.77982,6.0
11.015,4.62557,23.28391,56.62799,7.0
7.15,4.30435,27.2814,52.5867,7.0
14.879,5.26801,37.14626,41.51056,6.0
17.778,4.17586,41.06015,33.22841,8.0
18.744,14.67977,52.94542,18.80947,10.0
21.643,28.65285,68.32244,6.03699,9.0
21.643,42.17623,59.07538,7.13463,11.0
20.677,7.51656,48.30256,13.17162,8.0
13.913,9.86146,42.51648,19.35829,10.0
11.015,8.76932,37.66796,22.80087,10.0
8.116,8.03051,21.422,37.07013,8.0
5.217,2.40915,8.67075,58.27444,6.0
3.285,0.85635,3.88073,64.79373,1.0
1.353,0.38536,2.39555,66.52333,2.0
2.319,0.28902,4.76686,62.11616,2.0
2.319,0.57803,1.4022,72.19445,0.0
0.386,0.16057,2.724,73.69122,2.0
3.285,0.61015,6.02737,67.65423,2.0
5.217,2.82594,21.03532,51.98799,2.0
2.319,2.02312,21.29247,45.70153,2.0
5.217,6.22992,20.53906,52.5867,5.0
16.812,4.75272,13.60133,69.79961,4.0
9.082,4.2068,12.6855,70.64778,3.0
10.048,4.91329,15.44888,70.64778,6.0
5.217,7.80346,19.00279,67.90369,5.0
9.082,7.4181,16.52608,65.75832,2.0
11.015,6.51894,29.5421,55.08132,1.0
9.082,7.8998,46.02504,37.66884,2.0
13.913,14.06549,60.77088,24.14797,6.0
12.947,14.32239,54.19312,31.08303,5.0
9.082,10.91841,39.10804,47.8968,6.0
