PM10,NO,NO2,O3,PM25
20.29,4.99276,41.22953,17.66195,24.0
22.223,5.9391,42.20981,14.31915,27.0
26.087,4.79696,37.80517,15.66625,24.0
24.155,3.94852,34.96769,16.46453,21.0
16.425,2.44743,27.54406,25.74453,17.0
11.594,1.56636,19.79052,29.38668,17.0
28.986,0.95841,21.31094,25.61148,22.0
15.459,1.04554,19.25029,27.9398,15.0
18.358,2.28712,25.34727,23.69894,17.0
9.662,0.81683,12.99395,39.36518,11.0
14.493,0.71881,13.71204,36.92045,14.0
16.425,3.0386,27.34367,24.74668,12.0
9.662,8.00491,45.38262,12.52302,8.0
12.561,8.9851,42.43439,27.74023,5.0
8.696,4.90096,36.20523,34.42583,8.0
4.831,4.11681,27.08411,42.50841,5.0
2.899,4.67225,22.10305,46.84906,2.0
4.831,5.12968,24.91166,42.35873,1.0
5.797,4.77027,24.99818,44.70368,2.0
4.831,4.11681,23.98706,46.05078,2.0
4.831,4.21483,20.99781,48.79487,8.0
8.696,4.08414,27.80523,42.10927,6.0
9.662,4.83562,25.62063,44.35443,3.0
7.73,4.44354,22.19565,45.00304,4.0
4.831,4.01879,19.28532,46.79917,4.0
2.899,2.64652,14.52432,50.5411,5.0
1.932,2.25444,13.98992,50.44132,5.0
2.899,2.28712,15.59158,49.04433,3.0
2.899,1.2089,10.53455,54.73207,1.0
1.932,2.48316,13.38114,51.18971,1.0
7.73,1.96283,12.3731,50.55773,0.0
5.797,1.30855,12.48356,52.48691,3.0
2.899,0.85056,12.80811,53.33508,2.0
1.932,0.98141,11.42286,54.08347,-1.0
2.899,1.04684,11.73457,51.53895,0.0
2.899,1.30855,16.63827,46.25035,0.0
5.797,3.76209,26.31896,36.92045,0.0
8.696,6.34647,33.68731,30.93335,2.0
7.73,6.51004,30.80977,35.67314,3.0
11.594,6.24833,24.36093,42.10927,3.0
7.73,4.12194,18.35052,48.04648,5.0
5.797,3.14052,12.12963,56.77767,2.0
7.73,5.07064,13.9086,55.53035,2.0
5.797,3.46766,15.07884,55.92949,4.0
4.831,4.05651,17.67827,52.63659,4.0
7.73,4.18736,17.78666,52.33723,6.0
6.763,3.53309,23.16776,45.30239,8.0
3.865,4.48179,24.03082,41.06153,7.0
8.696,7.78588,40.95711,27.79012,4.0
8.696,2.6171,23.43915,40.76217,5.0
9.662,2.19182,24.65779,39.51486,6.0
11.594,4.64536,36.8622,25.9441,8.0
9.662,7.49146,40.94501,21.25421,6.0
7.73,4.71078,26.20343,30.88346,4.0
12.561,2.00894,38.10173,14.50209,10.0
15.459,7.03129,39.37735,6.18667,8.0
10.628,10.21939,38.03504,8.03269,9.0
12.561,11.52957,29.44796,13.52087,14.0
10.628,9.33502,33.78934,7.58366,9.0
10.628,19.68543,38.01317,3.54237,6.0
10.628,13.5931,43.39744,9.52947,4.0
5.797,38.71578,60.4826,8.43183,3.0
13.527,60.49749,72.92603,5.78753,5.0
16.425,89.28867,76.62606,3.89162,7.0
6.763,52.93121,60.11633,7.38409,6.0
16.425,51.42451,67.61717,9.13033,8.0
12.561,64.16599,68.12334,10.22796,14.0
15.459,32.00111,55.51488,14.56861,10.0
8.696,17.13058,42.18751,31.73163,5.0
10.628,7.99209,34.97481,33.22841,5.0
5.797,11.88987,49.45228,17.71184,7.0
12.561,17.91669,57.9415,11.12603,8.0
11.594,21.32316,55.85323,11.82452,9.0
16.425,11.88987,46.88269,17.61205,16.0
14.493,11.52957,44.30023,16.6641,13.0
19.324,46.67511,57.32344,6.38624,11.0
12.561,24.63136,53.40172,16.56431,8.0
13.527,3.17718,25.24405,36.27185,5.0
10.628,3.45442,34.70105,16.63083,2.0
14.493,4.32896,43.54758,6.05362,10.0
11.594,17.31584,43.24038,2.29506,13.0
10.628,8.1004,43.8841,9.47958,8.0
7.73,3.44349,43.84551,12.92216,6.0
11.594,3.44349,42.81993,16.01549,7.0
12.561,70.18162,66.89274,2.59441,6.0
23.189,155.05546,82.2337,3.19312,10.0
24.155,246.81628,103.83435,3.39269,16.0
33.817,243.43838,99.47579,4.83957,16.0
17.392,82.11905,85.97146,10.12818,5.0
37.682,79.92178,90.46871,10.677,7.0
34.783,44.79817,76.37923,15.317,10.0
37.682,33.94298,71.79405,22.90066,7.0
54.107,23.6781,69.27793,25.59485,8.0
49.276,33.35267,68.13534,28.88776,7.0
38.648,13.41322,68.71041,21.85292,7.0
36.716,14.69223,73.51814,18.11098,9.0
18.358,5.50959,47.29256,32.28045,7.0
27.054,9.11705,56.42703,15.66625,8.0
17.392,7.01816,53.59434,17.3127,12.0
26.087,7.11655,53.75116,20.40603,10.0
4.831,5.47679,49.44529,18.80947,7.0
14.493,7.93643,44.6996,23.99829,10.0
19.324,38.62665,46.496,5.83742,14.0
20.29,45.71259,48.38892,7.23441,20.0
28.02,58.96166,49.2185,6.98495,17.0
25.121,48.71176,50.29627,7.03484,17.0
21.256,46.33879,50.22431,9.87872,10.0
13.527,10.11807,34.39915,23.54926,10.0
11.594,8.30539,32.60402,23.49937,6.0
8.696,7.58032,30.66609,26.29335,8.0
6.763,2.93325,16.34198,41.46067,5.0
6.763,2.5048,17.20225,39.81422,5.0
3.865,1.94452,16.84146,38.71658,4.0
4.831,1.35127,11.34673,46.30024,2.0
3.865,1.97747,11.55562,50.14196,0.0
8.696,1.38423,13.53263,47.84691,3.0
5.797,0.21999,11.09057,49.55988,3.0
3.865,2.11191,28.47587,28.60503,6.0
4.831,1.02296,26.98431,27.19141,5.0
6.763,0.95696,22.8254,23.99829,8.0
9.662,1.55093,24.85615,20.00689,8.0
3.865,3.26686,30.28886,17.01334,6.0
1.932,7.22669,33.701,16.56431,4.0
8.696,22.86801,45.92883,4.73979,3.0
7.73,43.12913,44.02361,3.19312,11.0
17.392,55.07462,44.82719,3.9914,8.0
16.425,54.77763,44.31897,4.78968,11.0
19.324,57.38452,52.03708,5.28861,12.0
13.527,29.13774,48.63924,14.51872,14.0
9.662,14.25538,43.76788,20.6056,12.0
6.763,9.3386,37.91796,30.08518,8.0
8.696,10.98853,48.42199,22.20216,6.0
9.662,13.33142,54.61768,16.36474,8.0
17.392,39.59829,74.18665,4.64,11.0
18.358,81.20949,74.33592,4.44043,14.0
19.324,38.37734,61.60483,5.08904,13.0
24.155,54.15066,57.29988,5.03914,17.0
20.29,52.76472,52.93338,4.93936,17.0
15.459,17.65424,49.46021,6.33635,17.0
17.392,11.18652,44.26403,10.32775,14.0
26.087,15.81479,43.22131,5.58796,12.0
11.594,6.69596,35.47789,14.43556,10.0
11.594,2.34579,27.92868,20.70539,9.0
9.662,5.28628,33.59114,13.67055,7.0
7.73,6.37658,31.56516,6.08689,8.0
4.831,5.12109,32.98419,11.3256,7.0
12.561,38.19338,41.12503,2.39484,12.0
16.425,101.29836,55.23601,2.84387,8.0
17.392,106.58465,48.24375,3.19312,8.0
20.29,22.26846,41.65841,11.37549,9.0
10.628,11.13423,32.31603,17.46238,7.0
8.696,13.41394,37.87841,16.86367,6.0
12.561,32.41151,47.66271,10.12818,6.0
7.73,14.76855,41.01346,19.00904,7.0
6.763,3.13873,31.06469,47.64734,5.0
8.696,2.97353,32.73487,44.50411,4.0
12.561,12.75315,45.67237,14.16947,7.0
7.73,15.62757,54.2193,9.03054,6.0
10.628,22.00415,54.36015,7.58366,7.0
16.425,55.43987,53.24006,3.94151,14.0
14.493,52.23507,50.46242,6.53592,11.0
13.527,11.99325,34.54107,16.81377,10.0
8.696,3.20481,24.78984,23.34969,12.0
9.662,4.03079,23.27034,22.6512,10.0
14.493,5.29279,28.37194,19.15872,26.0
7.73,2.29354,19.1028,27.20804,9.0
10.628,1.85248,21.59674,30.634,7.0
15.459,1.29012,27.0536,23.99829,8.0
14.493,15.38217,47.35278,7.63355,7.0
3.865,1.3232,36.24254,21.3041,6.0
3.865,9.49394,50.57492,8.48173,5.0
3.865,9.03083,45.12525,16.71399,6.0
4.251,5.49288,21.27559,57.12691,4.0
11.015,6.11707,31.06198,49.04433,4.0
7.15,4.11966,24.26204,54.33293,3.0
11.981,2.90249,16.0298,58.47401,5.0
11.015,3.43305,22.48346,50.44132,3.0
9.082,2.71523,13.95745,62.26584,3.0
11.015,2.43434,9.81076,66.15746,6.0
6.184,1.27959,11.15665,65.90799,3.0
4.251,0.49935,5.52626,71.64563,6.0
3.285,0.41613,2.88543,75.70355,6.0
4.251,0.46814,2.96297,75.43746,4.0
3.285,0.74903,2.39071,76.33553,3.0
5.217,0.62419,4.75284,64.11186,6.0
3.285,0.59298,8.43428,63.06412,8.0
8.116,1.37322,9.1727,67.8538,6.0
5.217,2.12225,14.44197,59.97079,3.0
4.251,2.43434,16.08696,58.07487,3.0
8.116,2.77765,16.22122,58.37423,4.0
14.879,3.77635,20.16386,52.73637,6.0
6.184,3.21458,18.85452,56.42842,4.0
8.116,3.30821,20.45697,56.32863,6.0
1.353,2.34071,14.01261,72.99273,5.0
-0.58,3.05853,17.63092,69.2009,3.0
11.981,3.52668,20.12199,65.55875,5.0
11.015,3.15216,22.58382,60.41982,7.0
3.285,3.71393,25.68636,57.42627,6.0
5.217,2.59039,22.17107,57.12691,5.0
6.184,1.87257,16.42924,63.2138,2.0
3.285,1.90378,13.69159,64.16176,7.0
4.251,1.81015,14.0711,62.01638,6.0
7.15,1.6541,19.35964,53.48476,7.0
18.744,1.20578,16.79326,53.8839,5.0
5.217,0.95631,12.83015,57.74225,4.0
7.15,0.34302,14.2586,53.43487,5.0
4.251,0.28066,11.00055,56.12906,5.0
3.285,0.37421,12.32139,56.37853,6.0
1.353,1.15381,16.13293,55.13121,6.0
4.251,4.11628,32.46842,43.55615,5.0
11.981,7.39059,42.18521,33.67744,3.0
10.048,5.61311,39.90374,37.56905,1.0
11.015,6.11205,31.39216,47.59745,5.0
11.015,4.61522,21.59509,56.97724,6.0
9.082,6.04968,22.41866,54.63229,7.0
14.879,4.05391,18.39354,58.22455,6.0
14.879,4.30338,17.20803,61.11831,5.0
13.913,3.05603,14.39711,62.66498,3.0
16.812,3.46142,18.35732,56.97724,6.0
12.947,5.14535,31.22118,44.00519,4.0
5.217,7.32822,40.01356,34.6254,3.0
16.812,9.13689,49.04907,22.25206,7.0
16.812,4.39693,32.98279,32.92905,6.0
11.015,2.30761,22.34651,37.41938,6.0
13.913,1.96459,24.19505,34.5755,7.0
14.879,14.50052,43.09222,18.6598,10.0
10.048,3.02484,23.27788,35.07443,7.0
23.575,0.95552,11.96259,43.83888,6.0
8.116,0.3739,11.71966,42.50841,6.0
6.184,0.7478,14.73968,41.11142,9.0
12.947,1.30865,18.46595,38.76647,10.0
5.217,0.52969,14.64858,39.46497,7.0
7.15,8.69317,37.45005,15.46668,7.0
7.15,25.86141,47.57915,1.54667,10.0
22.609,64.09267,52.07834,1.24731,13.0
13.913,60.6341,54.45001,2.59441,12.0
26.474,47.23602,51.96778,6.78538,8.0
20.677,51.6605,54.30883,7.48388,10.0
40.001,68.73526,57.58373,7.83312,17.0
26.474,26.51573,45.81938,19.05894,7.0
29.372,22.77673,49.75577,24.69679,13.0
21.643,7.41568,34.8699,44.15486,9.0
17.778,6.76136,33.79284,42.25895,7.0
23.575,6.10703,41.50997,31.63185,6.0
18.744,8.35043,52.72714,16.41463,14.0
18.744,10.03298,62.06198,6.58581,16.0
24.541,52.22135,70.32806,1.74624,17.0
23.575,55.55529,68.99854,2.19527,18.0
18.744,39.44644,71.99663,2.24516,13.0
16.812,71.38372,68.74718,1.19742,17.0
15.846,45.45999,64.9036,1.14753,16.0
15.846,14.48709,54.89696,1.79613,12.0
10.048,5.27181,43.78622,4.65663,9.0
12.947,4.38971,38.7497,7.73334,11.0
4.251,0.93398,28.95135,13.92001,8.0
9.082,1.15191,27.15008,25.04604,5.0
10.048,1.74343,26.57438,29.83572,5.0
10.048,5.97748,43.31944,25.19571,4.0
11.981,4.04725,37.05047,44.05508,3.0
16.812,3.95386,23.13779,57.32648,6.0
18.744,3.30007,21.30067,57.37638,8.0
15.846,2.98874,16.4775,60.91874,4.0
14.879,2.92648,13.07083,63.2138,3.0
21.643,2.73968,11.98479,63.01423,4.0
28.406,2.77081,12.59962,64.26154,7.0
25.508,2.02363,12.60946,65.70842,6.0
22.609,2.52175,14.11734,62.91444,6.0
20.677,3.54913,18.41049,60.07057,5.0
21.643,2.02363,15.68566,61.11831,5.0
21.643,2.24156,14.78359,61.91659,6.0
21.643,1.5255,13.1366,62.31573,6.0
17.778,1.55664,12.23699,64.46111,6.0
14.879,1.36984,9.58919,63.91229,7.0
22.609,1.65003,9.91678,65.8581,5.0
12.947,0.59152,7.28045,69.40047,2.0
7.15,0.49771,7.00583,69.31731,3.0
6.184,0.53919,12.24788,63.99545,3.0
4.251,0.37329,7.48085,66.10756,3.0
8.116,0.71546,9.2774,61.76692,5.0
6.184,0.40439,5.86988,63.46326,2.0
-3.478,0.24886,7.86112,59.67143,2.0
1.353,0.93321,14.48602,54.68218,4.0
19.71,1.36871,11.68653,59.67143,8.0
17.778,3.14182,26.49538,46.79917,13.0
14.879,2.1775,17.3627,53.33508,15.0
12.947,6.31475,32.52582,41.41078,16.0
10.048,3.32846,22.70369,45.50196,9.0
14.879,6.22143,30.86878,35.22411,9.0
15.846,5.2571,31.16309,34.87486,10.0
12.947,7.21685,34.07966,28.88776,17.0
17.778,9.23882,41.63802,22.90066,16.0
18.744,10.35867,43.37907,20.85507,17.0
21.643,14.49592,51.43641,14.26926,17.0
32.271,12.87835,49.93742,11.37549,25.0
28.406,5.75482,31.3,25.64475,22.0
28.406,5.10157,30.88048,25.09593,19.0
31.305,2.58189,25.31694,32.13077,23.0
30.339,2.55079,16.88508,40.31314,19.0
33.237,2.64411,14.46814,41.01164,19.0
43.865,1.03605,8.96969,45.43544,19.0
25.508,0.82884,7.01137,45.9011,17.0
24.541,0.77704,6.86952,46.05078,21.0
25.508,0.99461,5.87207,46.84906,17.0
25.508,0.80812,5.8261,46.15056,17.0
26.474,0.77704,8.43429,45.30239,22.0
23.575,0.71488,7.20192,49.39358,15.0
20.677,1.15002,9.37976,48.99444,15.0
18.744,1.6784,9.66018,47.8968,19.0
29.372,2.42436,16.38769,42.10927,22.0
21.643,4.25817,18.22279,45.50196,12.0
22.609,2.82842,14.48787,51.53895,19.0
31.305,2.8595,15.19889,47.54755,18.0
26.474,2.30003,15.20321,48.74497,15.0
26.474,2.23787,15.53561,49.74282,21.0
33.237,1.98922,13.45117,52.5867,22.0
29.372,1.61624,13.73856,51.53895,17.0
27.44,2.73517,19.56225,49.09422,25.0
29.372,1.52299,18.1491,48.74497,21.0
21.643,1.11894,12.03537,56.27874,18.0
23.575,0.8392,10.80468,59.02283,21.0
19.71,1.30542,8.71471,60.71917,16.0
11.015,1.98922,11.22255,55.18111,6.0
13.913,1.21218,8.71544,58.67358,8.0
11.015,0.82816,2.2108,67.58771,11.0
11.981,0.70394,2.59112,68.05337,7.0
